pathway	external_id	source	hgnc_symbol_ids
Parkin-Ubiquitin Proteasomal System pathway	WP2359	Wikipathways	HSPA2,TUBA8,HSPA7,HSPA6,HSPA5,HSPA4,PSMD5,PSMD4,PSMD7,PSMD6,PSMD1,PSMD3,PSMD2,UBE2L6,HSPA1B,HSPA1A,UBE2L3,SEPT5,PSMD9,UBE2J2,PSMD12,GPR37,UBE2J1,TUBB8,TUBA3C,TUBA3E,TUBA3D,SNCAIP,STUB1,TUBA1B,TUBA1A,CCNE1,CASK,PARK2,PSMD10,TUBB7P,UBE2G2,UBE2G1,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,FBXW7,HSPA8,SIAH1,SIAH2,RNF19A,TUBB6,SNCA,TUBB3,TUBB1,HSPA1L,CASP8,UBA1,TUBA4A,TUBA4B,TUBB2A,TUBB2B,TUBAL3,CASP1,PSMD8,PSMD14,TUBB4A,HSPA14,PSMD11,TUBB,PSMD13,CUL1,TUBA1C,HSPA9,TUBB4B
Adipogenesis	WP236	Wikipathways	PCK2,LIF,PCK1,IL6ST,LIFR,AGT,PLIN2,ADIPOQ,PLIN1,RARA,CYP26B1,GADD45A,WNT10B,RETN,RORA,DVL1,MBNL1,ZMPSTE24,DDIT3,LIPE,SP1,CREB1,LPL,SOCS1,GATA4,MIF,GATA2,GATA3,GH1,BMP4,BMP3,BMP2,BMP1,SLC2A4,AHR,WWTR1,CYP26A1,GDF10,CDKN1A,HIF1A,IRS1,CISD1,TRIB3,SERPINE1,IL6,EGR2,SCD,PPARGC1A,GADD45B,PNPLA3,OSM,NR1H3,IGF1,STAT6,FRZB,PPARG,PPARD,SOCS3,BORCS8-MEF2B,PPARA,CNTFR,BSCL2,EPAS1,INS,MEF2C,MEF2A,SPOCK1,MEF2D,WNT5B,FOXC2,NAMPT,SMAD3,DLK1,NCOR2,NCOR1,NCOA2,FZD1,NCOA1,STAT3,STAT2,STAT1,NR2F1,RBL1,RBL2,NDN,RXRG,RXRA,HMGA1,IRS3P,CELF1,MIXL1,GTF3A,SFRP4,IRS4,WNT1,ID3,IRS2,LEP,STAT5B,STAT5A,SREBF1,AGPAT2,TGFB1,CTNNB1,FOXO1,CEBPB,CEBPA,LPIN2,LPIN3,KLF15,LPIN1,TWIST1,FAS,RB1,KLF7,KLF6,KLF5,HNF1A,ASIP,NR3C1,PTGIS,TNF,EBF1,UCP1,LMNA,E2F4,E2F1,CFD,CEBPD,NRIP1,PRLR
Gastric Cancer Network 1	WP2361	Wikipathways	S100P,KIF15,SMOC2,MYBL2,TPX2,HIST4H4,RUVBL1,ECT2,CCNA1,GATS,AURKA,H3F3A,TOP2A,NUP107,CENPF,CEP192,MCM4,INO80D,C21orf33,E2F7,LIN9,UBE2C,NOTCH1,ERVK-6,ACTL6A,APC,RNF216,KIF20B,ESM1
Gastric cancer network 2	WP2363	Wikipathways	MIRLET7E,RAD17,AHCTF1,RFC4,OTUD5,EGFR,RFC3,CTNNB1,CACYBP,MTDH,CD48,BRIX1,LBR,FAM91A1,PLAC8,CEBPZ,MYC,S100A6,FANCI,TOP2A,SNURF,COL9A3,COL9A1,CHTF8,CHTF18,LMNB2,TP53,UBE2C,ATAD2,RNF144B,UBE2T,DSCC1
Histone Modifications	WP2369	Wikipathways	HIST1H4C,HIST1H3D,SMYD2,HIST1H4J,HIST1H4H,KMT2A,SETD1A,EZH2,SETBP1,AEBP2,EED,EHMT1,HIST4H4,KMT2E,SUV420H1,H3F3B,H3F3A,DOT1L,SMYD4,SETDB1,SETDB2,KMT2C,ASH1L,SETMAR,KMT2D,SUV39H1,SUV39H2,SETD9,SETD8,HIST2H3D,HIST2H3C,SMYD1,HIST2H3A,SMYD3,HIST1H3J,SETD3,SETD2,SETD5,SETD4,SUV420H2,SETD6,EZH1,EHMT2,SMYD5,SETD7,SETD1B,PRDM2,NSD1,SET
Glucocorticoid & Mineralcorticoid Metabolism	WP237	Wikipathways	CYP11A1,CYP21A2,CYP17A1,HSD3B1,HSD3B2,CYP11B2,HSD11B2,HSD11B1
Parkinsons Disease Pathway	WP2371	Wikipathways	SLC6A3,MIRLET7G,MIR30A,UBE2J1,UBE2J2,MIR34C,MIR34B,CYCS,UBE2L6,DDC,HTRA2,PINK1,MAPK11,MAPK12,MAPK13,SEPT5,MIR16-2,GPR37,MIR195,MIR433,MIR375,MIR431,MIR370,MIR1294,LRRK2,CCNE2,PARK7,CCNE1,MIR26A1,MIR26A2,PARK2,SYT11,ATXN2,UBE2G2,UBE2G1,MIR338,EPRS,APAF1,MIR212,MIR873,MIR503,TH,CASP7,MIR26B,UBA7,SNCAIP,MIR10A,UBA1,MIR1224,UCHL1,MIR127,CASP3,CASP6,MAPK14,MIR4448,CASP2,MIR128-1,MIR128-2,MIR19B2,MIR19B1,CASP9,MIR19A,MIR409,MIR18A,UBB,SNCA,MIR136,MIR30E,MIR132,MIR485,UBE2L3
Structural Pathway of Interleukin 1 (IL-1)	WP2637	Wikipathways	MKNK2,MKNK1,IKBKB,MAP2K2,MAP2K1,MAP2K7,MAPK11,MAP2K4,IL1A,MAPKAPK2,IL1R1,MAP3K8,TANK,MAP3K3,MAP3K1,MAP3K7,MAPK3,MAPK1,IRAK2,MYC,IRAK1,MBP,IRAK4,MAPK14,TRAF6,FOS,SAFB,CHUK,IL1RAP,EIF4E,RELA,MAP2K3,MYD88,IRF7,RPS6KA5,TOLLIP,TAB3,MAPK9,TAB1,ELK1,MAP3K14,TAB2,ATF2,MAP2K6
Aripiprazole Metabolic Pathway	WP2640	Wikipathways	CYP3A43,CYP2D6
Oncostatin M Signaling Pathway	WP2374	Wikipathways	CCL2,TIMP3,MMP13,CDKN1B,HRAS,JUNB,JUND,HIF1A,IL6ST,MAPK14,MAP2K2,MAP2K1,OSM,LIFR,TYK2,RICTOR,RAF1,SERPINE1,CEBPB,STAT3,STAT1,STAT5B,VEGFA,EGR1,RPS6,SOCS3,MAPK3,PTK2B,OSMR,JAK2,PXN,PIK3R1,JAK1,NFKB1,MAPK8,MAPK9,JAK3,PRKCH,NFKBIA,CYR61,SHC1,FOS,PRKCA,PRKCB,PRKCE,PRKCD,SRC,LDLR,MTOR,CREB1,RELA,KRAS,CASP7,TP53,CASP3,SOS1,AKT1,PTPN11,IRS1,PIAS3,CDK2,GRB2,MAPK1,MMP3,MMP1
Integrated Pancreatic Cancer Pathway	WP2377	Wikipathways	PTGS2,CCNE1,BUB1B,PLK1,STK11,CASP10,AKT1,CASP12,FKBP3,BDNF,EGF,RARA,RARB,PIK3CA,DCC,MAP3K4,MAP3K5,HSP90AB1,INHBA,LIG1,CAPN1,FADD,MYC,KRAS,MYT1,BRCA1,WT1,BRCA2,WRN,SP1,CAMK2A,DFFB,LEFTY1,FASLG,SMAD2,MDM2,FGFR1,MAPK14,CCND1,APP,GSK3A,PTEN,GRB2,FKBP1B,FKBP1A,APC,TOP2A,PAK1,PCNA,STMN1,CDKN1B,RAPGEF3,CRK,IL1R1,DAXX,GPRC5A,EGR1,JUN,MST1,THBS1,PRKCA,CDK2,AGPAT2,SIRT1,IGF1,CDC25C,SERPINB10,IAPP,BLM,VEGFA,DAG1,SHH,BRF1,FTL,FGF1,TP53,ESR1,TBP,HNF4A,TOP1,PDGFRA,SMAD4,HDAC8,SMAD6,ATM,RAP1A,NTRK1,SMO,FST,ABL1,RAF1,PLA2G4A,STAT1,ARF1,CD82,ACHE,FGF2,MAPK3,MAPK1,MAPK7,MAPK4,PML,PTTG1,MAPK8,MAPK9,APAF1,SRC,TGFBR1,CAB39,RBL1,RXRA,JUND,NFKB1,ESR2,EP300,NCK1,SOS1,IL11,TNFRSF1A,BAD,STAT5A,PIAS1,CDK4,IL3,RAD51,RAD50,PLN,RHEB,TGFB1,JUNB,EGFR,PRKAA2,BAX,CTNNB1,NOXA1,MAP2K1,EZH2,RRM1,RAD52,PITX2,RB1CC1,BBC3,CCNA2,FAS,BID,CAMP,NT5C1A,NODAL,ANXA1,PDGFA,TRAF2,LTBP1,RAC1,TFF1,DFFA,TNF,CREB1,CDKN2B,MIR21,HPGDS,CASP7,E2F4,CASP3,ERBB2,CASP8,CASP9,PDK1,TYMS,NTF3,BCL2
BDNF signaling pathway	WP2380	Wikipathways	IKBKB,AKT1,PTK2B,IKBKG,BDNF,DLG1,LINGO1,IRS1,CAMK1,MAP3K1,CAMK4,NTRK2,NTRK3,GNB2L1,MARCKS,CDK5R1,GRIN1,CDH2,SHC4,SHC1,SIRPA,SHC3,CAMK2A,CREB1,KCNN2,CSNK2A1,BMP2,PPP2CA,PTPN11,GSK3B,GRB2,GRIP1,APC,YBX1,NGF,NFATC4,GRIA2,DOCK3,HRAS,GRIA1,FRS3,FRS2,CRTC1,IRS2,EGR2,RAF1,EGR1,JUN,KCNA3,TIAM1,ELK1,JAK2,PIK3R2,PIK3R1,KSR1,DPYSL2,FOS,CHUK,EIF4E,RHOG,RPS6KA1,RPS6KA3,RPS6KA5,VAV3,VAV2,MEF2C,MAP3K2,MEF2A,EIF4EBP1,SORT1,SYN1,NCF2,NCF1,RAB3A,RAP1A,NTRK1,MAPK14,RPS6,MAPK10,TSC2,NCAM1,CNR1,STAT3,STAT1,CDKL5,RPS6KB1,MAPK3,MAPK1,RANBP9,MAPK7,GRIA3,NFKB1,MAPK8,MAPK9,SRC,NTF3,ACACB,KIDINS220,MTOR,SH2B1,IGF2BP1,GABRB3,RELA,CASP3,CTNNB1,RASGRF1,MAP2K1,BAD,STAT5B,STAT5A,SPP1,CDK5,CDC42,CYFIP1,PRKAA2,PRKAA1,FOXO3,MAP2K2,PLCG1,NGFR,MAP2K5,ADAM17,EIF2S1,EIF2S2,BCL2L11,SHC2,FYN,NSF,DOK5,NFKBIA,TRAF6,RAC1,PRKCD,CFL1,PDPK1,SQSTM1,NCK1,NCK2,GRIN2B,PTPRF,MAPT,SH2B2,EEF2,ALPL
Peptide GPCRs	WP24	Wikipathways	AVPR1B,ACKR1,AVPR1A,SSTR4,NTSR2,GALR3,NTSR1,TRHR,CCR1,CCR2,CCR3,GNRHR,CCR5,CCR6,CCR7,CCR8,EDNRA,EDNRB,OPRL1,MC4R,CCKBR,LHCGR,NPY4R,FPR3,TAC4,SSTR3,NPY6R,TACR2,CXCR3,CXCR2,CXCR1,SSTR2,CXCR6,CXCR5,CXCR4,BRS3,CCR9,FPR2,TSHR,MC1R,ATP8A1,CCR4,MC2R,CCR10,MC3R,C5AR1,NPY2R,OPRK1,GRPR,GHSR,TACR3,MC5R,TACR1,BDKRB1,BDKRB2,CX3CR1,NPY5R,C3AR1,AVPR2,NPY1R,OPRM1,CCKAR,SSTR1,GALR2,GALR1,NMBR,SSTR5,OPRD1,FPR1,OXTR,FSHR,AGTR2,AGTR1
Cardiac Progenitor Differentiation	WP2406	Wikipathways	WNT3A,TGFB1,PDGFRA,ISL1,SOX1,MAPK14,MYL2,TBX5,SOX2,MESP1,MESP2,KIT,NCAM1,NKX2-5,TNNT2,NANOG,ROR2,SOX17,INHBA,ZFP42,TNNI3,ACTC1,NRG1,IRX4,THY1,GSK3B,KDR,IGF2,IGF1,SIRPA,CXCR4,MYLK3,LIN28A,LIN28B,PAX6,POU5F1,T,DKK1,MYH6,GATA4,FGF2,BMP4,BMP1,NOG,NODAL,NOTCH1,INS,MEF2C,FOXA2,TBX20,ANPEP,MIXL1,SCN5A
One Carbon Metabolism	WP241	Wikipathways	DHFR,MAT1A,BHMT,AHCYL2,DNMT1,MTHFR,AMT,FOLH1,DNMT3B,DNMT3A,MAT2B,MTR,MTHFS,GART,SHMT2,SHMT1,MTFMT,ATIC,MTHFD2,MTHFD1,ALDH1L1,MTHFD1L,TCN2,TYMS,FTCD,MTRR,AHCY
Spinal Cord Injury	WP2431	Wikipathways	PTGS2,MIF,BDNF,ROS1,NCAN,GADD45A,PLA2G6,RTN4R,GRIN1,ZFP36,PLXNA2,AQP4,AQP1,IFNG,XYLT1,KLK8,CXCL10,CXCL1,PLA2G5,CXCL2,CSPG4,CCNG1,CCND1,CXCL8,C1QB,VIM,TLR4,FKBP1A,TNFSF13,CDKN1B,FECHP1,MIR23B,NOX4,IL1R1,IL6,LILRB3,GAP43,EGR1,CDK2,PRKCA,IL2,TNFSF13B,MAG,FOS,COL4A1,RHOC,RHOB,RHOA,TACR1,BCAN,GJA1,TP53,ARG1,MBP,AIF1,EFNB2,CCL2,ACAN,EPHA4,LTB4R,CCR2,IL1A,IL1B,COL2A1,RGMA,BTG2,MAPK3,MAPK1,ICAM1,C5,PDYN,VCAN,PLA2G2A,LTB,LGALS3,PRB1,MYC,OMG,NTN1,LEP,CDK1,IL4,CDK4,CDC42,TGFB1,EGFR,PTPRZ1,FOXO3,SOX9,NGFR,SEMA6A,RB1,APEX1,SLIT3,SLIT2,SLIT1,GFAP,ANXA1,NOS1,NOS2,RAC1,RTN4,CD47,NR4A1,FCGR2A,TNF,CHST11,E2F5,CASP3,E2F1,ROCK2,GDNF,PTPRA,MMP9,PPP3CA,SELP
Quercetin and Nf-kB- AP-1 Induced Cell Apoptosis	WP2435	Wikipathways	MT-CO1,PTGS2,ACOX2,NFE2L2,FOS,JUN,IKBKB,KEAP1,NOS1,MAFK,VEGFA,CYP2A6,NFKB1,MMP1,MAFG
Dopamine metabolism	WP2436	Wikipathways	SOD1,PPP2CA,PPP2CB,COMT,NQO1,MAOB,PRKACG,PRKACA,TH,PRKACB,DDC,MAOA,TYR
TCA Cycle and PDHc	WP2453	Wikipathways	IDH3A,PCK1,OGDH,PDHA1,DLD,DLST,IDH1,ACO1,SUCLG2,CS,DLAT,PC,MDH1,FH,ACLY,SDHA
Alpha 6 Beta 4 signaling pathway	WP244	Wikipathways	PTK2,SRC,HRAS,ITGA6,GAB1,MAPK14,AKT1,LAMB1,LAMB3,LAMB2,ITGB4,MAPK3,MAPK1,PIK3R2,PIK3R1,LAMA1,LAMA2,LAMA3,LAMA5,RAC1,PRKCA,PRKCD,MTOR,LAMC2,RHOA,LAMC1,SOS1,PTPN11,IRS1,IRS2,GRB2,EIF4EBP1,SHC1
Retinoblastoma (RB) in Cancer	WP2446	Wikipathways	PLK4,KIF4A,DCK,DNMT1,PRIM1,RABIF,MYC,BARD1,PRMT2,RBP1,MDM2,CCND1,CCND3,RBBP7,H2AFZ,RBBP4,TOP2A,STMN1,CDKN1B,CDKN1A,SAP30,CCNE2,CCNE1,TTK,CHEK1,SMC1A,FAF1,CDC25B,CDC25A,CCDC6,TP53,POLE2,HLTF,TFDP2,TFDP1,HDAC1,RFC5,RFC4,RFC3,PRKDC,POLE,WEE1,MAPK13,ABL1,RAF1,CDC7,SKP2,SMC3,SMC2,CDT1,FANCG,POLD3,NPAT,CDK1,CDK2,CDK4,CDK6,CDC45,POLA1,DHFR,HMGB2,HMGB1,MSH6,RRM2,RRM1,SMARCA2,CCNA2,RB1,SIN3A,PCNA,SUV39H1,ANLN,ORC1,MCM7,MCM6,MCM4,MCM3,MIR21,CCNB2,CCNB1,E2F3,E2F2,E2F1,RPA1,RPA3,RPA2,TYMS,ZNF655
Amyotrophic lateral sclerosis (ALS)	WP2447	Wikipathways	BCL2L1,GRIA1,BAX,CAT,MAPK14,MAP2K2,BAD,MAP2K6,DAXX,NEFM,NEFL,BID,RAC1,NEFH,MAP3K5,DERL1,APAF1,NOS1,RAB5A,SOD1,ALS2,TNF,CCS,TP53,CASP3,TNFRSF1A,CASP1,CASP12,PRPH,CASP9,GPX1,PPP3CA,PPP3CB,PPP3CC,BCL2
Small Ligand GPCRs	WP247	Wikipathways	CNR1,TBXA2R,PTGFR,CNR2,PTGER3,MTNR1A,PTGER4,S1PR2,S1PR1,LPAR1,PTGER1,PTGER2,PTGIR,PTGDR,GPR50,PTAFR,S1PR3,MTNR1B,S1PR4
NAD Biosynthesis II (from tryptophan)	WP2485	Wikipathways	QPRT,KYNU,KMO,AFMID,NADSYN1,TDO2,HAAO,NMNAT1
Nanomaterial induced apoptosis	WP2507	Wikipathways	CASP6,CASP7,AIFM1,CASP3,FAS,BID,ENDOG,CASP8,CASP9,CFLAR,HTRA2,CYCS,BAX,FADD,BAK1,PRF1,APAF1,DIABLO
Nanoparticle triggered autophagic cell death	WP2509	Wikipathways	VMP1,INSR,CHAF1A,TSC2,TSC1,ATG16L1,UVRAG,ATG3,ATG7,ATG5,MAP1LC3A,ATG9B,ULK2,ULK1,BECN1,AMBRA1,SH3GLB1,ATG10,ATG4A,ATG14,ATG12,BCL2
Integrated Lung Cancer Pathway	WP2512	Wikipathways	CAMP,ERC1,SH2D1A,RAP1A,RIPK1,SAMSN1,CRK,RAF1,MIR21,TGFA,PKLR,SMAGP,FAS,ARF1,RAC1,JUN,ARF6,JAK2,MKKS,MYD88,APAF1,ERBB2,SRC,TRAF2,CSK,FOS,POR,PIK3C2A,MTOR,MDM2,RASGRF1,CASP6,CASP3,CCND1,IRS1,CBL,CASP9,PDK1,BRAF,PAK1
Nanoparticle triggered regulated necrosis	WP2513	Wikipathways	TICAM1,TNFRSF1A,PARP1,CASP8,RIPK1,RIPK3,TRADD,FADD,MAPK8
ATM Signaling Pathway	WP2516	Wikipathways	CCNB1,TP53,CDC25C,GADD45A,CDC25A,ATM,JUN,TP73,PIDD1,CDK1,RAD9A,TP53BP1,CREB1,RAD51,ABL1,MAPK9,CDKN1A,ATF2
Trans-sulfuration and one carbon metabolism	WP2525	Wikipathways	GSS,DHFR,MAT1A,DHFRL1,CTH,MTHFD2L,GCLM,AHCYL1,BHMT,TYMS,DNMT1,GCLC,MTHFR,AMT,DNMT3B,DNMT3A,MAT2A,MAT2B,MTR,AHCYL2,DNMT3L,PHGDH,SHMT2,SHMT1,MTHFD2,MTHFD1,PSPH,MTHFD1L,PSAT1,CBS,AHCY
PDGF Pathway	WP2526	Wikipathways	PDGFA,PDGFB,PDGFRB,HRAS,MAPK3,PLCG1,MAPK1,MAP2K4,PLA2G4A,RASA1
Apoptosis	WP254	Wikipathways	BCL2L1,TNFSF10,BCL2L2,PMAIP1,TNFRSF25,TRAF1,NFKBIB,BIRC5,NFKBIA,BIRC3,BIRC2,BAX,NFKBIE,IKBKB,AKT1,BAD,BOK,MAPK10,IKBKG,MAP2K4,CASP8,BBC3,CASP9,CRADD,CASP10,CASP6,TP63,BCL2L11,TP53,TRAF3,CFLAR,FAS,BID,SCAF11,JUN,TRADD,CASP4,CDKN2A,CASP7,PIK3R1,FADD,TRAF2,NFKB1,MYC,APAF1,IGF2,HELLS,IGF1R,IGF1,BNIP3L,IRF2,TNFRSF10B,CHUK,DFFB,DFFA,IRF7,IRF5,TNFRSF21,TNF,FASLG,CYCS,HRK,MCL1,CASP2,MDM2,RELA,IRF6,IRF3,RIPK1,IRF1,TNFRSF1B,CASP3,GZMB,TNFRSF1A,XIAP,CASP1,LTA,PRF1,BAK1,MAP3K1,IRF4,DIABLO,TP73,BCL2
Sulindac Metabolic Pathway	WP2542	Wikipathways	CYP1A2,MSRA,CYP1B1,MSRB3,MSRB2
Polycystic Kidney Disease Pathway	WP2571	Wikipathways	SRC,STK11,CCND1,PKD2,PKD1,MAP3K1,JUN,IKBKB,KCNN4,MTOR,BRAF,IGF1,MYC,RHEB,TSC2,EGF,TSC1
Primary Focal Segmental Glomerulosclerosis FSGS	WP2572	Wikipathways	ITGB1,PTK2,SYNPO,PODXL,TGFB1,CDKN1C,PLAUR,CDKN1A,ITGA3,ILK,NOTCH1,AGRN,CD151,PLCG1,LIMS1,PLCE1,KRT8,PARVA,INF2,LAMA5,LAMB2,CD80,MYH9,FYN,YWHAQ,NPHS1,TLN1,AKT1,CDKN1B,CLDN1,JAG1,MYO1E,PCNA,WT1,ITGB3,MT-TL1,CTSL,ITGB4,DKK1,VCL,CAMK2B,VTN,SMARCAL1,PTPRO,DNM1,COL4A4,NPHS2,COL4A3,PAX2,KIRREL2,KIRREL3,LMX1B,IRF6,MKI67,CTNNB1,CDH2,CR1,LRP6,NCK1,ACTN4,SCARB2,WNT1,LRP5,COL4A5,ITGAV,VIM,FAT1,UTRN,TLR4,MME,TRPC6,CD2AP,DAG1
T-Cell Receptor and Co-stimulatory Signaling	WP2583	Wikipathways	NFATC2,RASGRP1,AKT1,PLCG1,DYRK2,CALM1,FYN,RASA1,PRKCA,ZAP70,DYRK1A,NFKB1,NRON,CTLA4,CD28,TRA,TRB,CD8A,CD8B,PTPN6,CSNK1A1,ITK,GSK3A,GSK3B,PDK1,PTEN,IL2,PPP3CA,PDCD1,LCK
Aryl Hydrocarbon Receptor	WP2586	Wikipathways	PTGS2,CCL1,CDKN1B,CDKN1A,EGFR,AIP,CD36,NQO1,MAP2K1,RAF1,NCOR2,CYP1B1,NCOA7,NFE2L2,NRAS,GCLC,RB1,CDC37,KLF6,MAPK1,NF1,NFKB1,MYC,HRAS,SRC,PSRC1,AHRR,LPL,VEGFA,RET,EP300,HPGDS,KRAS,CYP1A1,CYP1A2,RELA,E2F1,ESR1,ARNT,NRIP1,AHR,CDK2,TNF,HSP90AA1,PLAGL1,FGF21
Nifedipine Activity	WP259	Wikipathways	PCNA,BDKRB2,SOD1,PTK2B,MAP2K1,MAPK1,CYP3A4,KDR
JAK-STAT	WP2593	Wikipathways	MT-CO2,PTK2,TIMP1,KHDRBS1,PRKAA2,PRKAA1,MAPK14,EGF,NCOA1,STAT3,NEK3,STAT1,STAT5B,TWIST1,PRL,TEC,JAK2,CISH,JAK1,MAPK8,MAPK9,ZAP70,ITGB1,NOS3,ACACA,SIRPA,ACACB,SP1,CFL2,AURKA,RHOA,SOCS3,ESR1,PTPN11,SOCS2,ROCK1,ROCK2,PDK1,PIAS3,STAT5A,RAC1,PPIA,CDC42
Gastric acid production	WP2596	Wikipathways	SCT,VIP,CCK,GRP,MUC6
Secretion of Hydrochloric Acid in Parietal Cells	WP2597	Wikipathways	CCKBR,HRH2,ATP4A,CHRM1
Gastric Histamine Release	WP2598	Wikipathways	CCK
Gastric gastrin release	WP2599	Wikipathways	GAST
Signal Transduction of S1P Receptor	WP26	Wikipathways	SPHK2,SPHK1,AKT1,AKT2,AKT3,MAPK12,SMPD2,GNAI2,GNAI3,GNAI1,ASAH1,S1PR3,S1PR2,S1PR1,S1PR5,MAPK3,MAPK1,MAPK6,MAPK7,MAPK4,PLCB1,PLCB2,PLCB3,PIK3C2B,RACGAP1
Gastric pepsin release	WP2601	Wikipathways	PGA3,PGA4,PGA5,PGC
BMI1	WP2612	Wikipathways	CDK1,CDKN2A,BMI1,NDN
EBV LMP1 signaling	WP262	Wikipathways	RELA,TRAF1,PDLIM7,NFKBIA,TRAF6,MAP3K3,NFKB2,CHUK,TRADD,IFNB1,IKBKB,IRAK1,NFKB1,MAP3K14,CXCL8,CCL20,MAPK8,HSP90AA1,MAP3K7,MAPK1
Genes and (Common) Pathways Underlying Drug Addiction	WP2636	Wikipathways	MAPK3,DRD4,DRD2,CAMK4,DRD1,MAP2K2,MAP2K1,MAPK1
Heroin metabolism	WP2645	Wikipathways	CES1,CES2
Lidocaine metabolism	WP2646	Wikipathways	CYP1A2,CYP3A4
Cardiac Hypertrophic Response	WP2795	Wikipathways	MAP4K1,TGFB1,NFATC2,HDAC5,HDAC4,HDAC7,HDAC9,PRKCA,IKBKE,CDK9,IKBKB,MAP2K2,MAP2K1,MAP2K7,IKBKG,MAP2K5,MAP2K4,RAF1,EGF,MAPK14,CALM1,MAP3K1,MAP3K7,MAPK3,PRKG1,AKT1,MAPK7,NRG1,NFKB1,MAPK8,NPPA,TGFBR1,IGF1,RAC1,CAMK2D,CHUK,PLA2G2A,TNF,MTOR,PPP3CA,FGFR2,FGF2,MAP2K3,TNFRSF1A,AKT2,GSK3B,MAPK1,MEF2A,MAP3K14,CDK7,PDPK1,GUCA1A,PRKD1,MAP2K6
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	WP2797	Wikipathways	ACOX1,TRIB3,HMGCS2,CD36,ME1,UGT1A9,FABP1,APOA5,AGT,PLIN2,APOA1,APOA2,GRHL1,RGL1,CPT2,NPAS2,ACADM,FHL2,ALAS1,TIAM2,ABCB4,CYP7A1,FDFT1,SULT2A1,CPT1A,HMGCS1,G0S2,GLIPR1,PEX11A,TNFRSF21,HMGCR,PPARA,FADS1,SLC27A1,ANKRD1,CYP1A1,CYP4A11,ACSL1,CTGF,ANGPTL4,ABCA1,TXNRD1
Selenium Metabolism and Selenoproteins	WP28	Wikipathways	SARS2,SEPP1,TRNAU1AP,JUN,MSRB1,VIMP,EPT1,FABP1,SELENBP1,NFE2L2,C11orf31,DIO1,DIO2,DIO3,NFKB1,RELA,SCLY,TXNRD2,TXNRD3,TXNRD1,SEPW1,FOS,SEPHS2,SP3,SEPN1,SEPSECS,EEFSEC,RPL30,GPX1,GPX3,GPX2,GPX4,GPX6
Hair Follicle Development- Induction (Part 1 of 3)	WP2804	Wikipathways	NFKBIB,VCAN,SMO,BMPR1A,FST,FOXI3,EGF,TP63,WNT10A,WNT10B,GJB6,INHBA,CTNNB1,DVL1,NFKB1,MYC,TCF3,FZD1,EGFR,CDH3,FGF7,CHUK,SP5,BMP4,SHH,LEF1,FGFR2,MSX2,FGFR1,IKBKB,EDA,LRP6,LRP5,IVL,DKK4,NOG,GSK3B,CTGF,EDAR,KRT10,PTCH1,FGF20
RNA interference	WP2805	Wikipathways	XPO5,DGCR8,DROSHA,DICER1,ERI1
Bladder Cancer	WP2828	Wikipathways	RASSF1,HRAS,EGFR,MAP2K2,MAP2K1,EGF,RB1,THBS1,MAPK1,PIK3R2,PIK3R1,CDH1,MYC,DAPK3,DAPK2,DAPK1,ERBB2,CDKN2A,CDKN1A,VEGFA,MDM2,FGFR3,TP53,RPS6KA5,E2F1,CCND1,CXCL8,TYMP,CDK4,BRAF,MMP1
Human Complement System	WP2806	Wikipathways	ELANE,C5AR2,C5AR1,FKBP2,ADIPOQ,DCN,PRNP,SFTPA2,SFTPA1,FGG,FGA,FGB,FPR1,FCER2,MASP1,MASP2,TLR2,CRP,VSIG4,PROS1,LAMB1,IBSP,APOA1,C4BPA,THBS1,C4A,PRKACA,FCN2,FCN1,F10,LAMC1,CR2,CR1,CSNK1A1,CD93,CD19,SERPING1,ARRB2,GNAI2,GNAI3,ITGA2B,PTX3,C1QBP,C9,ICAM2,ICAM1,C3,C7,ITGA2,C5,CFHR2,LAMA5,CFHR4,A2M,ADM,WAS,LRP2,ALB,C6,PLG,SPP1,SELE,CPN1,CFD,CD55,PLAUR,RPS19,CD59,FCGR3A,C8A,F13A1,MBL2,TXN,SELPLG,APCS,ITGB3,KLKB1,PRKCA,CD46,CD40,SELL,CFH,CFI,C3AR1,CALR,CFB,GNA15,C1S,SELP,CFP
Mammary gland development pathway - Involution (Stage 4 of 4)	WP2815	Wikipathways	STAT3,SOCS3,E2F1,BAX,IL6ST,CHI3L1,MMP9,CDH1,TP53,MYC
Felbamate Metabolism	WP2816	Wikipathways	CYP3A4,CYP2E1
Transcriptional regulation of pluripotent stem cells	WP2821	Wikipathways	SOX2,EPAS1,NANOG,POU5F1,SALL4
PCSK9-mediated LDLR degradation	WP2846	Wikipathways	PCSK9
Differentiation Pathway	WP2848	Wikipathways	WNT3A,TGFB1,TNFSF11,TGFB3,CNTF,CSF1R,LEFTY1,NOTCH1,EPO,FST,KIT,EGF,FGF8,NT5E,GDF5,INHBA,CXCR1,NODAL,TF,FGF10,WNT2B,PDGFA,PDGFB,IGF1,NTF4,TPO,IL6R,FLT3LG,DKK1,HGF,KITLG,FGF4,FGF2,FGF1,BMP4,ALK,WNT2,WNT1,NOG,SHH,CSF1,INS,IL6,IL3,IL11,VEGFA,WNT5A,WNT7B
